,What Helped You The Most?
0,Education
1,Education
2,Education
3,Education
4,Education
5,Education
6,Education
7,Education
8,Education
9,Education
10,Education
11,Education
12,Education
13,Education
14,Education
15,Education
16,Education
17,Education
18,Education
19,Education
20,Education
21,Education
22,Education
23,Education
24,Education
25,Education
26,Education
27,Education
28,Education
29,Education
30,Education
31,Education
32,Education
33,Education
34,Education
35,Education
36,Education
37,Education
38,Education
39,Education
40,Education
41,Education
42,Education
43,Education
44,Education
45,Education
46,Education
47,Education
48,Education
49,Education
50,Education
51,Education
52,Education
53,Education
54,Education
55,Education
56,Education
57,Education
58,Education
59,Education
60,Education
61,Education
62,Education
63,Education
64,Education
65,Education
66,Education
67,Education
68,Education
69,Education
70,Education
71,Education
72,Education
73,Education
74,Education
75,Education
76,Education
77,Education
78,Education
79,Education
80,Education
81,Education
82,Education
83,Education
84,Education
85,Education
86,Education
87,Education
88,Education
89,Education
90,Education
91,Education
92,Education
93,Education
94,Education
95,Education
96,Education
97,Education
98,Education
99,Education
100,Education
101,Education
102,Education
103,Education
104,Education
105,Education
106,Education
107,Education
108,Education
109,Education
110,Education
111,Education
112,Education
113,Education
114,Education
115,Education
116,Education
117,Education
118,Education
119,Education
120,Education
121,Education
122,Education
123,Education
124,Education
125,Education
126,Education
127,Education
128,Education
129,Education
130,Education
131,Education
132,Education
133,Education
134,Education
135,Education
136,Education
137,Education
138,Education
139,Education
140,Education
141,Education
142,Education
143,Education
144,Education
145,Education
146,Education
147,Education
148,Education
149,Education
150,Education
151,Education
152,Education
153,Education
154,Education
155,Education
156,Education
157,Education
158,Education
159,Education
160,Education
161,Education
162,Education
163,Education
164,Education
165,Education
166,Education
167,Education
168,Education
169,Education
170,Education
171,Education
172,Education
173,Education
174,Education
175,Education
176,Education
177,Education
178,Education
179,Education
180,Education
181,Education
182,Education
183,Education
184,Education
185,Education
186,Education
187,Education
188,Education
189,Education
190,Education
191,Education
192,Education
193,Education
194,Education
195,Education
196,Education
197,Education
198,Education
199,Education
200,Education
201,Education
