City,Location
,"(17.079128, -61.8222515)"
Sydney,"(-33.8548156, 151.2164539)"
Sydney,"(-33.8548156, 151.2164539)"
New York,"(40.7305991, -73.9865811)"
London,"(51.5073219, -0.1276473)"
London,"(51.5073219, -0.1276473)"
,"(54.7023545, -3.2765752)"
,"(51.0834196, 10.4234469)"
London,"(51.5073219, -0.1276473)"
London,"(51.5073219, -0.1276473)"
Washington DC,"(38.8949549, -77.0366455)"
London,"(51.5073219, -0.1276473)"
,"(63.2467777, 25.9209164)"
london,"(51.5073219, -0.1276473)"
,"(39.7837304, -100.4458824)"
Antigua,"(17.0889801, -61.7887094)"
,"(54.7023545, -3.2765752)"
,"(54.7023545, -3.2765752)"
brussels,"(50.8465565, 4.351697)"
,"(42.6384261, 12.674297)"
,"(42.6384261, 12.674297)"
Brussels,"(50.8297854, 4.3791772)"
London,"(49.5373152, 8.3541432)"
Cologn,
,"(51.0834196, 10.4234469)"
Stuttgart,"(48.7784485, 9.1800132)"
,"(54.7023545, -3.2765752)"
Brussels,"(50.8465565, 4.351697)"
,"(64.6863136, 97.7453061)"
,"(-41.500083, 172.8344077)"
voorhout,"(52.22766035, 4.49253703445982)"
,"(54.7023545, -3.2765752)"
London,"(51.5073219, -0.1276473)"
,"(54.7023545, -3.2765752)"
rome,"(41.8935085, 12.4825526)"
Dushanbe,"(38.5762757, 68.786394)"
New Delhi,"(28.6138967, 77.2159562)"
fermo,"(43.1604184, 13.7161408)"
Rome,"(41.8935085, 12.4825526)"
,"(42.6384261, 12.674297)"
Kent,"(51.2474823, 0.7105077)"
Davie,"(26.075729, -80.2841088753086)"
London,"(51.5073219, -0.1276473)"
Thiruvananthapuram,"(8.5058909, 76.9570481)"
Howell NJ,"(40.1659101, -74.1911587)"
Nanaimo,"(49.1637659, -123.9379792)"
Vienna,"(48.2083537, 16.3725042)"
Shrewsbury,"(52.7078866, -2.7540093)"
Johannesburg,"(-26.2049999, 28.0497222)"
"Ruaka, Limuru","(-1.2055365, 36.7787847)"
,"(42.6384261, 12.674297)"
London,"(51.5073219, -0.1276473)"
Mokolo,"(10.7410296, 13.7987418)"
brussels,"(50.8501912, 4.4509936)"
,"(13.5066394, 104.869423)"
The hague,"(52.0799838, 4.3113461)"
warsaw,"(52.2319237, 21.0067265)"
accra,"(5.5600141, -0.2057436)"
london,"(51.5073219, -0.1276473)"
