,Belief In Earning Opportunity Equality,Belief In Pay Equality,Education Helps Women,Role Models Help Women,Family Planning Helps Women,Maternity Pay And Childcare Helps Women,Minimum Wage Help Women,Access To Banking Helps Women,Womens Groups And Charities Helps Women,What Helps Women?,Fear Of Violence Is A Barrier,Laws Against Women Working Are A Barrier,Family Responsibilities Are A Barrier,Lack Of Experience Or Skills Is A Barrier,Traditional Views Of Women Are A Barrier,Lack Of ICT Access Is A Barrier,What Are Barriers To Women?,Strength Of Belief That Government Is Helping Women,What Helped You The Most?,Gender,Education,Age
0,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,helping,Male,Finished Primary School,75
1,No,Yes,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,3,"Education, personal drive and emotional capital.",Female,Beyond Secondary School,34
2,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,Men who act as gatekeepers in the professional world,3,"Getting a good education and membership of supportive professional, educational and personal networks.",Female,Beyond Secondary School,31
3,Yes,No,No,No,No,Yes,No,Yes,No,,No,No,Yes,No,Yes,No,,2,,Male,Beyond Secondary School,53
4,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Early determination to be financially independent and supportive institutions.,Female,Beyond Secondary School,47
5,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,3,"mentors, female role models",Female,Beyond Secondary School,28
6,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,36
7,No,No,No,No,No,Yes,Yes,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,29
8,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,5,"My education and role models, including female family role models.",Female,Beyond Secondary School,25
9,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,5,,Male,Beyond Secondary School,27
10,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Education and role models,Female,Beyond Secondary School,30
11,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Education. Determination. Female Role Models.,Female,Beyond Secondary School,40
12,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,Lack of self confidence,3,"I have an ordinary working class family background, I felt the pressure to do as my parents, go to vocational school and work in a low-paying job. Thanks to Finnish student grant, I went to university and have now worked over a decade in my dream job. I am the first university graduate in my near family. My greatest asset was sheer determination: I was not taking NO for an answer, and I studied hard. One has to truly believe something is possible, and start working towards achieving progress.",Female,Beyond Secondary School,41
13,No,No,No,No,No,No,Yes,Yes,No,,No,No,No,Yes,Yes,No,,2,cxxxxx,Male,Beyond Secondary School,37
