,Country,City,Location
0,Antigua and Barbuda,,"(17.079128, -61.8222515)"
1,Australia,Sydney,
2,Australia,Sydney,
3,United States of America,New York,
4,United Kingdom of Great Britain and Northern Ireland,London,
5,United Kingdom of Great Britain and Northern Ireland,London,
6,United Kingdom of Great Britain and Northern Ireland,,
7,Germany,,
8,United Kingdom of Great Britain and Northern Ireland,London,
9,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
10,United States of America,Washington DC,"(38.8949549, -77.0366455)"
11,United Kingdom of Great Britain and Northern Ireland,London,
12,Finland,,
13,United Kingdom of Great Britain and Northern Ireland,london,
14,United States of America,,
15,Antigua and Barbuda,Antigua,
16,United Kingdom of Great Britain and Northern Ireland,,
17,United Kingdom of Great Britain and Northern Ireland,,
18,Belgium,brussels,"(50.8465565, 4.351697)"
19,Italy,,
20,Italy,,"(42.6384261, 12.674297)"
21,Portugal,Brussels,"(50.8297854, 4.3791772)"
22,Germany,London,"(49.5373152, 8.3541432)"
23,Germany,Cologn,
24,Germany,,"(51.0834196, 10.4234469)"
25,Germany,Stuttgart,"(48.7784485, 9.1800132)"
26,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
27,Belgium,Brussels,"(50.8465565, 4.351697)"
28,Russian Federation,,"(64.6863136, 97.7453061)"
29,New Zealand,,"(-41.500083, 172.8344077)"
30,Netherlands,voorhout,"(52.22766035, 4.49253703445982)"
31,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
32,United Kingdom of Great Britain and Northern Ireland,London,
33,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
34,Italy,rome,"(41.8935085, 12.4825526)"
35,Tajikistan,Dushanbe,"(38.5762757, 68.786394)"
36,India,New Delhi,"(28.6138967, 77.2159562)"
37,Italy,fermo,"(43.1604184, 13.7161408)"
38,Italy,Rome,"(41.8935085, 12.4825526)"
39,Italy,,
40,United Kingdom of Great Britain and Northern Ireland,Kent,
41,United States of America,Davie,
42,United Kingdom of Great Britain and Northern Ireland,London,
43,India,Thiruvananthapuram,"(8.5058909, 76.9570481)"
44,United States of America,Howell NJ,"(40.1659101, -74.1911587)"
45,Canada,Nanaimo,
46,Austria,Vienna,"(48.2083537, 16.3725042)"
