Banking Access Helps,Education Helps,Family Planning Helps,Fear Of Violence Barrier,Government Support,Housework Barrier,Lack Of Experience Barrier,Lack Of Internet Barrier,Laws Against Working Barrier,Maternity Support Helps,Minimum Wage Helps,Opportunity Equality,Other Things Helps,Pay Equality,Rolemodels Help,Traditional Views Barrier
1,54,51,39,52,47,45,56,48,47,52,54,52,54,48,47
54,1,59,50,51,56,45,58,56,58,56,56,63,55,53,53
51,59,1,52,48,61,55,60,53,51,60,60,53,52,51,53
39,50,52,1,47,51,45,55,46,53,55,43,58,49,48,46
52,51,48,47,1,52,53,55,46,51,50,47,50,53,50,47
47,56,61,51,52,1,55,62,56,55,57,59,57,51,49,50
45,45,55,45,53,55,1,54,50,49,56,48,51,51,55,51
56,58,60,55,55,62,54,1,56,67,66,54,54,49,52,61
48,56,53,46,46,56,50,56,1,50,57,53,56,56,54,50
47,58,51,53,51,55,49,67,50,1,52,50,57,50,52,47
52,56,60,55,50,57,56,66,57,52,1,57,50,57,56,49
54,56,60,43,47,59,48,54,53,50,57,1,61,58,50,54
52,63,53,58,50,57,51,54,56,57,50,61,1,59,55,49
54,55,52,49,53,51,51,49,56,50,57,58,59,1,51,49
48,53,51,48,50,49,55,52,54,52,56,50,55,51,1,50
47,53,53,46,47,50,51,61,50,47,49,54,49,49,50,1
